experiment,repetition,sampleIndex,raw,filtered
12,1,0,363,363
12,1,1,363,363
12,1,2,363,363
12,1,3,363,363
12,1,4,358,358
12,1,5,358,358
12,1,6,359,359
12,1,7,359,359
12,1,8,359,359
12,1,9,359,359
12,1,10,358,358
12,1,11,358,358
12,1,12,358,358
12,1,13,359,359
12,1,14,359,359
12,1,15,360,360
12,1,16,360,360
12,1,17,360,360
12,1,18,360,360
12,1,19,359,359
12,1,20,359,359
12,1,21,361,361
12,1,22,361,361
12,1,23,359,359
12,1,24,359,359
12,1,25,362,362
12,1,26,362,362
12,1,27,362,362
12,1,28,364,364
12,1,29,364,364
12,1,30,365,365
12,1,31,365,365
12,1,32,367,367
12,1,33,367,367
12,1,34,366,366
12,1,35,366,366
12,1,36,369,369
12,1,37,369,369
12,1,38,368,368
12,1,39,368,368
12,1,40,367,367
12,1,41,367,367
12,1,42,369,369
12,1,43,369,369
12,1,44,369,369
12,1,45,369,369
12,1,46,369,369
12,1,47,368,368
12,1,48,368,368
12,1,49,368,368
12,1,50,368,368
12,1,51,367,367
12,1,52,367,367
12,1,53,365,365
12,1,54,365,365
12,1,55,365,365
12,1,56,365,365
12,1,57,363,363
12,1,58,363,363
12,1,59,361,361
12,1,60,361,361
12,1,61,360,360
12,1,62,359,359
12,1,63,359,359
12,1,64,359,359
12,1,65,359,359
12,1,66,360,360
12,1,67,360,360
12,1,68,362,362
12,1,69,362,362
12,1,70,365,365
12,1,71,365,365
12,1,72,366,366
12,1,73,366,366
12,1,74,369,369
12,1,75,369,369
12,1,76,369,369
12,1,77,369,369
12,1,78,369,369
12,1,79,369,369
12,1,80,369,369
12,1,81,368,368
12,1,82,368,368
12,1,83,369,369
12,1,84,369,369
12,1,85,367,367
12,1,86,367,367
12,1,87,364,364
12,1,88,364,364
12,1,89,364,364
12,1,90,364,364
12,1,91,362,362
12,1,92,362,362
12,1,93,360,360
12,1,94,360,360
12,1,95,358,358
12,1,96,359,359
12,1,97,359,359
12,1,98,359,359
12,1,99,359,359
12,1,100,360,360
12,1,101,360,360
12,1,102,360,360
12,1,103,360,360
12,1,104,363,363
12,1,105,363,363
12,1,106,366,366
12,1,107,367,367
12,1,108,367,367
12,1,109,367,367
12,1,110,369,369
12,1,111,369,369
12,1,112,369,369
12,1,113,368,368
12,1,114,368,368
12,1,115,367,367
12,1,116,367,367
12,1,117,367,367
12,1,118,367,367
12,1,119,366,366
12,1,120,366,366
12,1,121,365,365
12,1,122,365,365
12,1,123,363,363
12,1,124,362,362
12,1,125,362,362
12,1,126,360,360
12,1,127,360,360
12,1,128,359,359
12,1,129,359,359
12,1,130,358,358
12,1,131,358,358
12,1,132,359,359
12,1,133,359,359
12,1,134,360,360
12,1,135,360,360
