experiment,repetition,sampleIndex,raw,filtered
6,1,0,359,359
6,1,1,359,357
6,1,2,354,356
6,1,3,354,354
6,1,4,353,353
6,1,5,353,354
6,1,6,355,354
6,1,7,355,354
6,1,8,353,354
6,1,9,353,353
6,1,10,354,354
6,1,11,355,355
6,1,12,355,355
6,1,13,354,354
6,1,14,354,354
6,1,15,353,353
6,1,16,353,353
6,1,17,354,354
6,1,18,354,354
6,1,19,354,354
6,1,20,354,354
6,1,21,354,354
6,1,22,354,354
6,1,23,354,354
6,1,24,354,354
6,1,25,354,354
6,1,26,354,354
6,1,27,354,354
6,1,28,354,354
6,1,29,354,354
6,1,30,354,354
6,1,31,354,354
6,1,32,354,354
6,1,33,354,354
6,1,34,355,355
6,1,35,355,355
6,1,36,354,354
6,1,37,354,354
6,1,38,354,354
6,1,39,354,354
6,1,40,354,354
6,1,41,354,354
6,1,42,354,354
6,1,43,354,354
6,1,44,354,354
6,1,45,354,354
6,1,46,354,354
6,1,47,354,354
6,1,48,354,354
6,1,49,354,354
6,1,50,354,354
6,1,51,354,354
6,1,52,354,354
6,1,53,355,355
6,1,54,355,355
6,1,55,354,354
6,1,56,354,354
6,1,57,355,355
6,1,58,355,354
6,1,59,354,355
6,1,60,354,355
6,1,61,356,355
6,1,62,356,355
6,1,63,354,355
6,1,64,354,354
6,1,65,355,354
6,1,66,354,354
6,1,67,354,354
6,1,68,354,354
6,1,69,354,354
6,1,70,355,355
6,1,71,355,355
6,1,72,354,354
6,1,73,354,354
6,1,74,354,354
6,1,75,354,354
6,1,76,355,355
6,1,77,355,355
6,1,78,354,354
6,1,79,354,354
6,1,80,355,355
6,1,81,355,355
6,1,82,355,355
6,1,83,354,354
6,1,84,354,355
6,1,85,356,355
6,1,86,356,356
6,1,87,356,356
6,1,88,355,355
6,1,89,355,355
6,1,90,355,355
6,1,91,355,355
6,1,92,355,355
6,1,93,354,354
6,1,94,354,354
6,1,95,353,353
6,1,96,353,353
6,1,97,354,354
6,1,98,354,354
6,1,99,354,354
6,1,100,354,354
6,1,101,354,354
6,1,102,354,354
6,1,103,354,354
6,1,104,354,355
6,1,105,356,354
6,1,106,353,354
6,1,107,353,353
6,1,108,354,353
6,1,109,354,355
6,1,110,356,355
6,1,111,356,356
6,1,112,355,356
6,1,113,355,355
6,1,114,355,355
6,1,115,355,354
6,1,116,354,355
6,1,117,354,356
6,1,118,358,356
6,1,119,358,356
6,1,120,355,357
6,1,121,355,357
6,1,122,360,358
6,1,123,360,358
6,1,124,353,356
6,1,125,355,355
6,1,126,355,356
6,1,127,358,357
6,1,128,358,356
6,1,129,355,357
6,1,130,355,357
6,1,131,360,358
6,1,132,360,358
6,1,133,355,357
6,1,134,355,355
6,1,135,354,354
6,1,136,354,353
6,1,137,354,354
6,1,138,354,357
6,1,139,360,357
6,1,140,360,358
6,1,141,353,358
6,1,142,359,358
6,1,143,359,358
6,1,144,359,358
6,1,145,354,356
6,1,146,354,354
6,1,147,355,354
6,1,148,355,355
6,1,149,356,356
6,1,150,356,356
6,1,151,356,356
6,1,152,355,355
6,1,153,355,355
6,1,154,356,356
6,1,155,356,357
6,1,156,358,357
6,1,157,358,356
6,1,158,354,356
6,1,159,354,357
6,1,160,362,358
6,1,161,362,360
6,1,162,356,360
6,1,163,360,359
6,1,164,360,359
6,1,165,358,359
6,1,166,358,359
6,1,167,358,359
6,1,168,363,358
6,1,169,356,359
6,1,170,356,360
6,1,171,365,361
6,1,172,365,365
6,1,173,364,365
6,1,174,364,360
6,1,175,356,359
6,1,176,356,362
6,1,177,370,364
6,1,178,370,366
6,1,179,362,366
6,1,180,362,363
6,1,181,364,364
6,1,182,369,368
6,1,183,369,369
6,1,184,369,368
6,1,185,365,366
6,1,186,365,363
6,1,187,363,365
6,1,188,363,367
6,1,189,375,366
6,1,190,363,367
6,1,191,363,365
6,1,192,367,365
6,1,193,367,371
6,1,194,376,373
6,1,195,376,370
6,1,196,362,368
6,1,197,362,366
6,1,198,373,368
6,1,199,373,373
6,1,200,373,374
6,1,201,373,369
6,1,202,364,368
6,1,203,364,368
6,1,204,376,370
6,1,205,370,371
6,1,206,370,369
6,1,207,365,367
6,1,208,365,370
6,1,209,376,371
6,1,210,376,371
6,1,211,366,371
6,1,212,366,369
6,1,213,373,370
6,1,214,373,374
6,1,215,375,374
6,1,216,375,370
6,1,217,364,368
6,1,218,364,368
6,1,219,374,370
6,1,220,374,374
6,1,221,375,373
6,1,222,370,372
6,1,223,370,372
6,1,224,375,373
6,1,225,375,375
6,1,226,376,376
6,1,227,376,376
6,1,228,376,376
6,1,229,376,376
6,1,230,376,376
6,1,231,376,376
6,1,232,376,376
6,1,233,376,376
6,1,234,376,376
6,1,235,376,376
6,1,236,376,376
6,1,237,376,376
6,1,238,377,377
6,1,239,377,377
6,1,240,377,377
6,1,241,376,376
6,1,242,376,376
6,1,243,377,377
6,1,244,377,377
6,1,245,376,376
6,1,246,376,376
6,1,247,376,376
6,1,248,376,375
6,1,249,373,374
6,1,250,373,374
6,1,251,376,375
6,1,252,376,376
6,1,253,376,376
6,1,254,376,375
6,1,255,373,374
6,1,256,373,373
6,1,257,373,375
6,1,258,376,374
6,1,259,376,371
6,1,260,365,369
6,1,261,365,369
6,1,262,374,370
6,1,263,374,375
6,1,264,374,374
6,1,265,374,367
6,1,266,359,365
6,1,267,359,366
6,1,268,375,368
6,1,269,375,373
6,1,270,369,372
6,1,271,369,364
6,1,272,358,362
6,1,273,358,364
6,1,274,374,368
6,1,275,370,370
6,1,276,370,365
6,1,277,356,361
6,1,278,356,363
6,1,279,374,366
6,1,280,374,371
6,1,281,366,370
6,1,282,366,362
6,1,283,357,360
6,1,284,357,363
6,1,285,373,368
6,1,286,373,372
6,1,287,373,372
6,1,288,363,366
6,1,289,363,361
6,1,290,355,357
6,1,291,355,355
6,1,292,355,353
6,1,293,354,355
6,1,294,354,355
6,1,295,359,359
6,1,296,359,361
6,1,297,366,361
6,1,298,356,359
6,1,299,356,356
6,1,300,355,355
6,1,301,355,357
6,1,302,360,358
6,1,303,360,359
6,1,304,357,358
6,1,305,357,357
6,1,306,356,356
6,1,307,356,356
6,1,308,355,355
6,1,309,355,356
6,1,310,357,356
6,1,311,357,357
6,1,312,357,356
6,1,313,355,356
6,1,314,355,357
6,1,315,359,357
6,1,316,359,358
6,1,317,356,357
6,1,318,356,355
6,1,319,354,355
6,1,320,354,358
6,1,321,363,360
6,1,322,363,361
6,1,323,357,360
6,1,324,357,356
6,1,325,355,356
6,1,326,355,357
6,1,327,363,358
6,1,328,357,359
6,1,329,357,357
6,1,330,357,357
6,1,331,357,361
6,1,332,366,363
6,1,333,366,362
6,1,334,358,362
6,1,335,358,360
6,1,336,364,361
6,1,337,364,366
6,1,338,368,367
6,1,339,368,364
6,1,340,360,364
6,1,341,360,365
6,1,342,372,367
6,1,343,372,369
6,1,344,365,369
6,1,345,365,365
6,1,346,367,367
6,1,347,367,369
6,1,348,374,368
6,1,349,365,368
6,1,350,365,368
6,1,351,371,368
6,1,352,371,373
